white_pixels,contours,feature_detection,label
18560,99,113,100
20333,97,95,100
20187,102,96,100
19389,102,95,100
19275,98,95,100
19803,98,95,100
20240,99,102,100
19152,96,105,100
18561,102,98,100
20407,98,98,100
19012,95,113,100
20609,93,95,100
20331,96,95,100
19950,95,101,100
20106,99,98,100
19439,97,98,100
20858,91,95,100
20037,91,98,100
18809,99,95,100
20013,96,96,100
19747,103,113,100
20113,91,95,100
20446,99,96,100
20338,99,95,100
19999,95,96,100
19617,99,96,100
19753,95,96,100
20015,94,96,100
20182,94,96,100
20232,94,95,100
19807,99,95,100
19769,100,96,100
19853,100,95,100
20044,99,106,100
18803,105,96,100
20548,99,113,100
21197,95,97,100
20065,99,95,100
20644,97,96,100
18737,96,95,100
18173,101,103,100
20408,95,97,100
19387,99,107,100
19667,99,96,100
19417,103,95,100
20069,95,104,100
20463,104,97,100
19584,95,95,100
19076,101,96,100
21325,99,95,100
20272,100,95,100
