white_pixels,contours,feature_detection,label
85946,408,380,400
79849,319,424,400
82573,331,380,400
86230,409,383,400
78174,338,380,400
80099,320,385,400
83553,381,388,400
85439,395,392,400
85297,411,396,400
82078,368,412,400
76646,340,385,400
85618,379,378,400
78343,320,379,400
77256,325,386,400
76903,313,381,400
76972,335,392,400
78332,347,382,400
76852,316,383,400
79651,361,383,400
82106,372,379,400
73817,340,380,400
77434,339,382,400
79671,315,397,400
83601,345,381,400
78465,353,451,400
76419,333,388,400
73432,306,421,400
76364,345,379,400
80219,363,382,400
77896,368,379,400
82717,367,381,400
74499,318,465,400
78726,357,382,400
75697,321,427,400
83304,346,381,400
79036,333,382,400
82240,366,381,400
78100,307,380,400
82633,361,395,400
85753,407,381,400
79424,328,384,400
81358,352,385,400
80967,364,391,400
85471,347,379,400
84642,382,380,400
77885,324,379,400
86118,406,378,400
77676,328,380,400
82234,356,390,400
79005,306,378,400
